location,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,price_per_sqft,listing_month,listing_year,location_tier,total_rooms,bed_bath_ratio
Westlands,Apartment,1,1,1,732,8940000,12213.11,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,732,8940000,12213.11,2,2026,High End,2,1.0
Syokimau,Apartment,2,2,1,990,7500000,7575.76,2,2026,Mid Range,4,1.0
Westlands,Apartment,1,1,1,753,9200000,12217.8,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,721,9000000,12482.66,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,1173,13800000,11764.71,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,807,7500000,9293.68,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,807,7500000,9293.68,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,807,7500000,9293.68,2,2026,High End,2,1.0
Westlands,Apartment,3,4,2,1668,24600000,14748.2,2,2026,High End,7,0.75
Westlands,Apartment,1,1,1,721,8100000,11234.4,2,2026,High End,2,1.0
Westlands,Apartment,2,2,1,1109,11500000,10369.7,2,2026,High End,4,1.0
Syokimau,Apartment,1,1,1,603,4400000,7296.85,2,2026,Mid Range,2,1.0
Westlands,Apartment,1,1,1,818,9000000,11002.44,2,2026,High End,2,1.0
Westlands,Apartment,2,2,1,1173,13800000,11764.71,2,2026,High End,4,1.0
Westlands,Apartment,1,1,1,753,9200000,12217.8,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,721,9000000,12482.66,2,2026,High End,2,1.0
Westlands,Apartment,2,2,1,1173,13800000,11764.71,2,2026,High End,4,1.0
Westlands,Apartment,2,2,1,1173,13800000,11764.71,2,2026,High End,4,1.0
Westlands,Apartment,1,1,1,807,7500000,9293.68,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,807,7500000,9293.68,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,775,7500000,9677.42,2,2026,High End,2,1.0
Westlands,Apartment,2,3,1,1184,13000000,10979.73,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1184,13000000,10979.73,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1152,12300000,10677.08,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1152,12300000,10677.08,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1453,15150000,10426.7,2,2026,High End,5,0.67
Westlands,Apartment,1,1,1,700,6500000,9285.71,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,700,6500000,9285.71,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,700,6500000,9285.71,2,2026,High End,2,1.0
