source,location,address,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,listing_url,listing_date
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,732,8940000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116952712,2026-02-23
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,732,8940000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116952632,2026-02-23
property24,Syokimau,"Mombasa Road Nairobi, Syokimau, Nairobi",Apartment,2.0,2.0,1.0,990,7500000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-syokimau-116952121,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,1.0,1.0,1.0,753,9200000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116948905,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,1.0,1.0,1.0,721,9000000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116946769,2026-02-23
property24,Westlands,"Ring Rd Westlands Ln Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,1173,13800000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116946442,2026-02-23
property24,Westlands,"Ring Rd Westlands Ln Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,807,7500000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116946413,2026-02-23
property24,Westlands,"Ring Rd Westlands Ln Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,807,7500000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116946296,2026-02-23
property24,Westlands,"Ring Rd Westlands Ln Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,807,7500000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116946281,2026-02-23
property24,Westlands,"PQQJ+M66 Muthangari Dr, Westlands, Nairobi",Apartment,3.0,,2.0,1668,24600000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116949986,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,1.0,1.0,1.0,721,8100000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116950448,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,2.0,2.0,1.0,1109,11500000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116951712,2026-02-23
